Review ID,Entity,Feature,Target,DocType,Confidence,Fanout,SignalType,SignalPath,Title,PrimaryCommand,Heuristic,Why,Your Verdict,Your Notes
S-013,Session->Feature,marketplace-source-detection-improvements-v1,S-2eebf848-7afe-4025-a161-72fe98549e68,,0.750,16,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,Marketplace detection schema validation and Pydantic models,/dev:execute-phase,LIKELY_VALID,feature token present in title/signal path,KEEP,
S-014,Session->Feature,marketplace-source-detection-improvements-v1,S-5819855c-4e7e-4acc-b97f-a6e9f0346792,,0.750,49,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,Fix artifact detection logic for manual mappings,/dev:quick-feature,LIKELY_VALID,feature token present in title/signal path,KEEP,
S-015,Session->Feature,marketplace-source-detection-improvements-v1,S-78e65bca-e973-43f3-a44d-56fca72bd1e8,,0.650,71,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/components/CatalogEntryModal.tsx,Debug - marketplace-source-detection-improvements-v1,/fix:debug,LIKELY_VALID,feature token present in title/signal path,KEEP,
S-016,Session->Feature,marketplace-source-detection-improvements-v1,S-06680128-f6d2-41cb-8414-4b0281c12ada,,0.750,20,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/path-based-tag-extraction-v1.md,Path-based tag extraction Phase 1 implementation complete,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: path-based-tag-extraction,NOISE,
S-017,Session->Feature,marketplace-source-detection-improvements-v1,S-08d6b152-8d32-4aad-b600-c1fef910483a,,0.750,73,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/memory-context-system-v1.md,Execute Phase 4 - memory-context-system-v1,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: memory-context-system-v1,,
S-018,Session->Feature,marketplace-source-detection-improvements-v1,S-13cdc38e-bcf9-485a-b91c-c73b6fe21e3f,,0.750,63,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/types/marketplace.ts,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,high fanout (63) with low share (0.006),,
S-019,Session->Feature,marketplace-source-detection-improvements-v1,S-1602c1cc-3ee8-494a-95e8-641b0fcd9f46,,0.750,20,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/path-based-tag-extraction-v1.md,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: path-based-tag-extraction,NOISE,
S-020,Session->Feature,marketplace-source-detection-improvements-v1,S-19500428-71c9-4b93-88ce-248ca37a2820,,0.750,66,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/path-based-tag-extraction-v1.md,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: path-based-tag-extraction,NOISE,
S-021,Session->Feature,marketplace-source-detection-improvements-v1,S-24c3e7cb-259f-43a0-b6bd-ac7c12886317,,0.750,22,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/catalog-entry-modal-enhancement-v1.md,Catalog Modal Enhancement Phase 2 Complete,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: catalog-entry-modal-enhancement,NOISE,
S-022,Session->Feature,marketplace-source-detection-improvements-v1,S-2f3480c5-f985-4048-bf0e-20ee6fc8cad4,,0.750,71,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/core/marketplace/heuristic_detector.py,Quick Feature - marketplace-symlink-import-fix,/dev:quick-feature,LIKELY_NOISE,high fanout (71) with low share (0.018),,
S-023,Session->Feature,marketplace-source-detection-improvements-v1,S-3b6f31ee-8463-4756-8a5d-eb8b4f9490ff,,0.750,56,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/specs/workflow-orchestration-schema-spec.md,Plan Feature - workflow-orchestration-v1,/plan:plan-feature,LIKELY_NOISE,title/path points to different feature: workflow-orchestration-v1,NOISE,
D-024,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,implementation_plan,,,,,Implementation Plan: Artifact Metadata Caching Enhancement,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-025,Doc->Feature,artifact-metadata-cache-v1,progress/artifact-metadata-cache/all-phases-progress.md,progress,,,,,All Phases Progress,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-026,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-anchors-provenance-v1.md,prd,,,,,PRD: Memory Anchors & Rich Provenance,,LIKELY_NOISE,matches different feature token: memory-anchors-provenance-v1,NOISE,
D-027,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-context-system-v1.md,prd,,,,,PRD: Memory & Context Intelligence System,,LIKELY_NOISE,matches different feature token: memory-context-system-v1,NOISE,
D-028,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/workflow-orchestration-v1.md,prd,,,,,PRD: Workflow Orchestration Engine,,LIKELY_NOISE,matches different feature token: workflow-orchestration-v1,NOISE,
D-029,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/tools-api-support-v1.md,prd,,,,,PRD: Tools API Support for Artifact Metadata,,LIKELY_NOISE,matches different feature token: tools-api-support-v1,NOISE,
D-030,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/design/workflow-orchestration-ui-spec.md,document,,,,,Workflow Orchestration Engine - UI/UX Design Specification,,LIKELY_NOISE,matches different feature token: workflow-orchestration,NOISE,
D-031,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/design-specs/memory-context-system-ui-spec.md,document,,,,,Design Spec: Memory & Context Intelligence System UI,,LIKELY_NOISE,matches different feature token: memory-context-system,NOISE,
D-032,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/reports/dual-collection-system-architecture-analysis.md,report,,,,,Architecture Analysis: Dual Collection System (File-Based vs Database-Backed),,UNCERTAIN,no direct feature token match but not clearly generic,,
D-033,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/reports/manage-collection-page-architecture-analysis.md,report,,,,,Architecture Analysis: /manage vs /collection Page Purposes and Endpoint Alignment,,UNCERTAIN,no direct feature token match but not clearly generic,,
S-034,Session->Feature,artifact-metadata-cache-v1,S-1bd2ff39-0955-466f-9fdf-94c209fcd8ff,,0.750,44,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/memory-context-system-v1/phase-6-progress.md,/recovering-sessions - artifact-metadata-cache-v1,/recovering-sessions,LIKELY_VALID,feature token present in title/signal path,NOISE,"Similar to above, Title is incorrect. Feature token (memory-context-system-v1) is clearly in SignalPath"
S-035,Session->Feature,artifact-metadata-cache-v1,S-a55360ce-b621-484e-9a11-ee08cd918584,,0.750,22,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/deployment-write-through-refactor-v1.md,/dev-execution - artifact-metadata-cache-v1,/dev-execution,LIKELY_VALID,feature token present in title/signal path,NOISE,Same as above
S-036,Session->Feature,artifact-metadata-cache-v1,S-3886f931-f17f-4774-84a4-7cb2cbfaafc2,,0.650,21,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/components/memory/memory-details-modal.tsx,Debug - artifact-metadata-cache-v1,/fix:debug,LIKELY_VALID,feature token present in title/signal path,,
S-037,Session->Feature,artifact-metadata-cache-v1,S-78e65bca-e973-43f3-a44d-56fca72bd1e8,,0.650,71,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/components/CatalogEntryModal.tsx,Debug - artifact-metadata-cache-v1,/fix:debug,LIKELY_VALID,feature token present in title/signal path,,
S-038,Session->Feature,artifact-metadata-cache-v1,S-00eba045-dad0-4962-8d4b-3aca83be22c5,,0.750,34,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/collections-groups-ux-enhancement/phase-1-progress.md,Collections-Groups UX Phase 1 Data Layer Hooks Complete,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: collections-groups-ux-enhancement,NOISE,
S-039,Session->Feature,artifact-metadata-cache-v1,S-011ae22c-44ef-4e8d-885e-1013d72f766d,,0.750,74,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/collection-card-enhancements.md,Quick Feature - collection-card-enhancements,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,UNCERTAIN,"Could be related, but unsure with this data. Quick Features are hard to map and may require manual confirmation in the UI, but could find potential mappings based on the file names."
S-040,Session->Feature,artifact-metadata-cache-v1,S-08d6b152-8d32-4aad-b600-c1fef910483a,,0.750,73,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/memory-context-system-v1.md,Execute Phase 4 - memory-context-system-v1,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: memory-context-system-v1,NOISE,
S-041,Session->Feature,artifact-metadata-cache-v1,S-0d41cae5-92e1-4e54-b8c7-b726c98cc672,,0.750,71,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/manage-page-enhancements.md,Quick Feature - manage-page-enhancements,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
S-042,Session->Feature,artifact-metadata-cache-v1,S-12973a16-5382-4e68-a408-b49c509e39c0,,0.750,70,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/collection-group-ordering.md,Quick Feature - collection-group-ordering,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
S-043,Session->Feature,artifact-metadata-cache-v1,S-13cdc38e-bcf9-485a-b91c-c73b6fe21e3f,,0.750,63,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/marketplace-source-enhancements/phase-3-progress.md,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: marketplace-source-enhancements,NOISE,
S-044,Session->Feature,artifact-metadata-cache-v1,S-15123e05-691f-4930-bed6-df7f9a770742,,0.750,72,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/api/routers/artifacts.py,You've hit your limit · resets 2pm (America/New_York),/fix:debug,LIKELY_NOISE,high fanout (72) with low share (0.020),,
S-045,Session->Feature,artifact-metadata-cache-v1,S-18b14a0c-00a5-4c08-ba7c-659e7e104bc4,,0.750,49,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/composite-artifact-infrastructure/phase-1-progress.md,Plan Feature - composite-artifact-infrastructure,/plan:plan-feature,LIKELY_NOISE,title/path points to different feature: composite-artifact-infrastructure,NOISE,
D-046,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/enhancements/marketplace-sources-enhancement-v1.md,implementation_plan,,,,,Implementation Plan: Marketplace Sources Enhancement v1,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-047,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/enhancements/marketplace-sources-enhancement-v1.md,prd,,,,,Marketplace Sources Enhancement V1,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-048,Doc->Feature,marketplace-sources-enhancement-v1,progress/marketplace-sources-enhancement/phase-1-3-progress.md,progress,,,,,Phases 1-3: Backend Implementation,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-049,Doc->Feature,marketplace-sources-enhancement-v1,progress/marketplace-sources-enhancement/phase-4-6-progress.md,progress,,,,,Phases 4-6: Frontend Implementation,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-050,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/enhancements/confidence-score-enhancements-v1.md,prd,,,,,Confidence Score Enhancements - PRD,,LIKELY_NOISE,matches different feature token: confidence-score-enhancements-v1,NOISE,
D-051,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/agent-context-entities-v1.md,prd,,,,,PRD: Agent Context Entities,,LIKELY_NOISE,matches different feature token: agent-context-entities,NOISE,
D-052,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-anchors-provenance-v1.md,prd,,,,,PRD: Memory Anchors & Rich Provenance,,LIKELY_NOISE,matches different feature token: memory-anchors-provenance-v1,NOISE,
D-053,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-context-system-v1.md,prd,,,,,PRD: Memory & Context Intelligence System,,LIKELY_NOISE,matches different feature token: memory-context-system-v1,NOISE,
D-054,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/workflow-orchestration-v1.md,prd,,,,,PRD: Workflow Orchestration Engine,,LIKELY_NOISE,matches different feature token: workflow-orchestration-v1,NOISE,
D-055,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/SPIKEs/clone-based-artifact-indexing-spike.md,document,,,,,Clone Based Artifact Indexing Spike,,LIKELY_NOISE,matches different feature token: clone-based-artifact-indexing,,
D-056,Doc->Feature,marketplace-sources-enhancement-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/SPIKEs/claude-plugin-integration-spike.md,document,,,,,SPIKE: Native Claude Plugin Support,,UNCERTAIN,no direct feature token match but not clearly generic,,
D-057,Doc->Feature,marketplace-sources-enhancement-v1,progress/ph2-intelligence/subagent-assignments.md,progress,,,,,Subagent Assignments,,UNCERTAIN,no direct feature token match but not clearly generic,,
S-058,Session->Feature,marketplace-sources-enhancement-v1,S-agent-a16ed72,,0.800,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/enhancements/marketplace-sources-enhancement-v1.md,Session - marketplace-sources-enhancement-v1,,LIKELY_VALID,feature token present in title/signal path,KEEP,
S-059,Session->Feature,marketplace-sources-enhancement-v1,S-1bd2ff39-0955-466f-9fdf-94c209fcd8ff,,0.750,44,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/memory-context-system-v1/phase-6-progress.md,/recovering-sessions - marketplace-sources-enhancement-v1,/recovering-sessions,LIKELY_VALID,feature token present in title/signal path,NOISE,
S-060,Session->Feature,marketplace-sources-enhancement-v1,S-6f6b7630-1db9-40e7-9cb9-3325fef5f20a,,0.750,40,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/enhancements/marketplace-sources-enhancement-v1.md,Marketplace Sources Enhancement Phase 1-3 Backend Implementation,/dev:execute-phase,LIKELY_VALID,feature token present in title/signal path,KEEP,
S-061,Session->Feature,marketplace-sources-enhancement-v1,S-3886f931-f17f-4774-84a4-7cb2cbfaafc2,,0.650,21,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/components/memory/memory-details-modal.tsx,Debug - marketplace-sources-enhancement-v1,/fix:debug,LIKELY_VALID,feature token present in title/signal path,,
S-062,Session->Feature,marketplace-sources-enhancement-v1,S-011ae22c-44ef-4e8d-885e-1013d72f766d,,0.750,74,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/collection-card-enhancements.md,Quick Feature - collection-card-enhancements,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
S-063,Session->Feature,marketplace-sources-enhancement-v1,S-08d6b152-8d32-4aad-b600-c1fef910483a,,0.750,73,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/memory-context-system-v1.md,Execute Phase 4 - memory-context-system-v1,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: memory-context-system-v1,,
S-064,Session->Feature,marketplace-sources-enhancement-v1,S-0d41cae5-92e1-4e54-b8c7-b726c98cc672,,0.750,71,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/manage-page-enhancements.md,Quick Feature - manage-page-enhancements,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
S-065,Session->Feature,marketplace-sources-enhancement-v1,S-12973a16-5382-4e68-a408-b49c509e39c0,,0.750,70,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/collection-group-ordering.md,Quick Feature - collection-group-ordering,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
S-066,Session->Feature,marketplace-sources-enhancement-v1,S-13cdc38e-bcf9-485a-b91c-c73b6fe21e3f,,0.750,63,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/marketplace-source-enhancements/phase-3-progress.md,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: marketplace-source-enhancements,,
S-067,Session->Feature,marketplace-sources-enhancement-v1,S-15123e05-691f-4930-bed6-df7f9a770742,,0.750,72,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/api/routers/artifacts.py,You've hit your limit · resets 2pm (America/New_York),/fix:debug,LIKELY_NOISE,high fanout (72) with low share (0.020),,
S-068,Session->Feature,marketplace-sources-enhancement-v1,S-1602c1cc-3ee8-494a-95e8-641b0fcd9f46,,0.750,20,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/path-based-tag-extraction-v1/phase-2-progress.md,You've hit your limit · resets 2pm (America/New_York),/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: path-based-tag-extraction,,
S-069,Session->Feature,marketplace-sources-enhancement-v1,S-18b14a0c-00a5-4c08-ba7c-659e7e104bc4,,0.750,49,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/composite-artifact-infrastructure/phase-1-progress.md,Plan Feature - composite-artifact-infrastructure,/plan:plan-feature,LIKELY_NOISE,title/path points to different feature: composite-artifact-infrastructure,,
D-070,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/multi-platform-project-deployments-v1.md,implementation_plan,,,,,Implementation Plan: Multi-Platform Project Deployments (v1),,LIKELY_VALID,feature slug present in path/prd/slug,,
D-071,Doc->Feature,multi-platform-project-deployments-v1,progress/multi-platform-project-deployments/phase-0-progress.md,progress,,,,,Adapter Baseline,,LIKELY_VALID,feature slug present in path/prd/slug,,
D-072,Doc->Feature,multi-platform-project-deployments-v1,progress/multi-platform-project-deployments/phase-1-progress.md,progress,,,,,Data Model Foundations,,LIKELY_VALID,feature slug present in path/prd/slug,,
D-073,Doc->Feature,multi-platform-project-deployments-v1,progress/multi-platform-project-deployments/phase-2-progress.md,progress,,,,,Deployment Engine Refactor,,LIKELY_VALID,feature slug present in path/prd/slug,,
D-074,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/enhancements/versioning-merge-system-v1.5-state-tracking.md,prd,,,,,PRD Addendum: Artifact State Origin Tracking (v1.5),,LIKELY_NOISE,matches different feature token: versioning-merge-system-v1,,
D-075,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/agent-context-entities-v1.md,prd,,,,,PRD: Agent Context Entities,,LIKELY_NOISE,matches different feature token: agent-context-entities,,
D-076,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/enhanced-frontmatter-utilization-v1.md,prd,,,,,PRD: Enhanced Frontmatter Utilization for Marketplace Artifacts,,LIKELY_NOISE,matches different feature token: enhanced-frontmatter-utilization-v1,,
D-077,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-anchors-provenance-v1.md,prd,,,,,PRD: Memory Anchors & Rich Provenance,,LIKELY_NOISE,matches different feature token: memory-anchors-provenance-v1,,
D-078,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/memory-context-system-v1.md,prd,,,,,PRD: Memory & Context Intelligence System,,LIKELY_NOISE,matches different feature token: memory-context-system-v1,,
D-079,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/workflow-orchestration-v1.md,prd,,,,,PRD: Workflow Orchestration Engine,,LIKELY_NOISE,matches different feature token: workflow-orchestration-v1,,
D-080,Doc->Feature,multi-platform-project-deployments-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/SPIKEs/claude-plugin-integration-spike.md,document,,,,,SPIKE: Native Claude Plugin Support,,UNCERTAIN,no direct feature token match but not clearly generic,,
D-081,Doc->Feature,multi-platform-project-deployments-v1,progress/design-system-analysis/INDEX.md,progress,,,,,Index,,UNCERTAIN,no direct feature token match but not clearly generic,NOISE,
S-082,Session->Feature,multi-platform-project-deployments-v1,S-1bd2ff39-0955-466f-9fdf-94c209fcd8ff,,0.750,44,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/memory-context-system-v1/phase-6-progress.md,/recovering-sessions - multi-platform-project-deployments-v1,/recovering-sessions,LIKELY_VALID,feature token present in title/signal path,,
S-083,Session->Feature,multi-platform-project-deployments-v1,S-a55360ce-b621-484e-9a11-ee08cd918584,,0.750,22,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/deployment-write-through-refactor-v1.md,/dev-execution - multi-platform-project-deployments-v1,/dev-execution,LIKELY_VALID,feature token present in title/signal path,,
S-084,Session->Feature,multi-platform-project-deployments-v1,S-ba8940f7-a626-4713-aac3-f9bf007466c1,,0.720,2,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/platform-defaults-auto-population-v1.md,Session - multi-platform-project-deployments-v1,,LIKELY_VALID,feature token present in title/signal path,,
S-085,Session->Feature,multi-platform-project-deployments-v1,S-3886f931-f17f-4774-84a4-7cb2cbfaafc2,,0.650,21,file_read,/Users/miethe/dev/homelab/development/skillmeat/skillmeat/web/components/memory/memory-details-modal.tsx,Debug - multi-platform-project-deployments-v1,/fix:debug,LIKELY_VALID,feature token present in title/signal path,,
S-086,Session->Feature,multi-platform-project-deployments-v1,S-69219a80-5318-402f-9a6c-54cf9017fbd5,,0.850,2,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/platform-defaults-auto-population-v1.md,Execute Phase all - platform-defaults-auto-population-v1,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: platform-defaults-auto-population-v1,,
S-087,Session->Feature,multi-platform-project-deployments-v1,S-00eba045-dad0-4962-8d4b-3aca83be22c5,,0.750,34,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/collections-groups-ux-enhancement/phase-1-progress.md,Collections-Groups UX Phase 1 Data Layer Hooks Complete,/dev:execute-phase,LIKELY_NOISE,title/path points to different feature: collections-groups-ux-enhancement,,
S-088,Session->Feature,multi-platform-project-deployments-v1,S-011ae22c-44ef-4e8d-885e-1013d72f766d,,0.750,74,file_write,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/quick-features/collection-card-enhancements.md,Quick Feature - collection-card-enhancements,/dev:quick-feature,LIKELY_NOISE,title/path points to different feature: quick-features,,
